U,T,avg_n
4.0,0.2,1.0
4.0,0.1895263157894737,1.0
4.0,0.17905263157894738,1.0
4.0,0.16857894736842105,1.0
4.0,0.15810526315789475,1.0
4.0,0.14763157894736845,1.0
4.0,0.13715789473684212,1.0
4.0,0.1266842105263158,1.0
4.0,0.11621052631578949,1.0
4.0,0.10573684210526317,1.0
4.0,0.09526315789473686,1.0
4.0,0.08478947368421054,1.0
4.0,0.07431578947368422,1.0
4.0,0.06384210526315792,1.0
4.0,0.05336842105263159,1.0
4.0,0.04289473684210526,1.0
4.0,0.03242105263157896,1.0
4.0,0.02194736842105266,1.0
4.0,0.01147368421052633,1.0
4.0,0.001,1.0
