U,T,Normalized_S_pi_pi
4.0,0.2,0.0921211527645708
4.0,0.1895263157894737,0.10758871902798689
4.0,0.17905263157894738,0.15006450231605056
4.0,0.16857894736842105,0.14599219098414096
4.0,0.15810526315789475,0.19595383377344924
4.0,0.14763157894736845,0.10950804741881952
4.0,0.13715789473684212,0.3133007633268065
4.0,0.1266842105263158,0.39004570156238866
4.0,0.11621052631578949,0.4467645744376946
4.0,0.10573684210526317,0.3961284797683777
4.0,0.09526315789473686,0.483787025785327
4.0,0.08478947368421054,0.5793869168852314
4.0,0.07431578947368422,0.6598244753020183
4.0,0.06384210526315792,0.6799189061049915
4.0,0.05336842105263159,0.6004766975614092
4.0,0.04289473684210526,0.6955098547433759
4.0,0.03242105263157896,0.8109938204615385
4.0,0.02194736842105266,0.7539332480172062
4.0,0.01147368421052633,0.8386356429781626
4.0,0.001,0.8842059479334377
